Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
1977 Triumph Spitfire 1500,Y,1977 1500,Triumph,Triumph Spitfire,,1970s,British,Convertibles,56,Jackpins https://bringatrailer.com/member/jackpins/,Private Party,Blue,Black,treehugger https://bringatrailer.com/member/treehugger/,53k,Miles,"Bellevue, Iowa 52031",FM61054U,Sold,"$9,300",Wednesday,June,7,11:50pm,2023,12,https://bringatrailer.com/listing/1977-triumph-spitfire-15/,"6,887",559
2006 Jaguar XK8 Convertible,N,2006,Jaguar,Jaguar XK8,,2000s,British,Convertibles,26,Harro10 https://bringatrailer.com/member/harro10/,Private Party,Gray,,M81 https://bringatrailer.com/member/m81/,52k,Miles,"Triumph, Idaho 83333",SAJDA42C562A44820,Sold,"$13,500",Wednesday,June,7,11:50pm,2023,31,https://bringatrailer.com/listing/2006-jaguar-xk8-convertible-5/,"3,575",409
Original-Owner 2010 Tesla Roadster Sport R80 3.0,N,2010,Tesla,Tesla Roadster,,2010s,American,Convertibles,63,10TESLA10 https://bringatrailer.com/member/10tesla10/,Private Party,Red,Gray,waltstack https://bringatrailer.com/member/waltstack/,27k,Chassis,"Santa Monica, California 90402",5YJRE1A31A1000659,Sold,"$119,450",Wednesday,June,7,11:43pm,2023,26,https://bringatrailer.com/listing/2010-tesla-roadster-29/,"9,411",565
6k-Mile 2017 Chevrolet Corvette Z06 Convertible 3LZ 7-Speed,N,2017,Chevrolet,Chevrolet Corvette C7,,2010s,American,Convertibles,19,PAGSF https://bringatrailer.com/member/pagsf/,Dealer,,Gray,,6k,Miles,"Pompano Beach, Florida 33064",1G1YT3D64H5603311,Not Sold,"$74,500",Wednesday,June,7,11:38pm,2023,25,https://bringatrailer.com/listing/2017-chevrolet-corvette-z06-convertible-19/,"5,131",692
21k-Mile 1994 Ford Mustang GT Convertible 5-Speed,N,1994,Ford,Ford Mustang SN95 1994-2004,,1990s,American,Convertibles,22,Sevagmtr https://bringatrailer.com/member/sevagmtr/,Dealer,,Red,mikelaplatte https://bringatrailer.com/member/mikelaplatte/,21k,Miles,"West Chester, Pennsylvania 19382",1FALP45T1RF214269,Sold,"$17,000",Wednesday,June,7,11:38pm,2023,24,https://bringatrailer.com/listing/1994-ford-mustang-gt-convertible-18/,"3,621",340
43k-Mile 2008 Mercedes-Benz SL550,Y,2008,Mercedes-Benz,Mercedes-Benz R230 SL,,2000s,German,Convertibles,34,Collectibleclassics https://bringatrailer.com/member/collectibleclassics/,Dealer,Red,Beige,AndyRitter https://bringatrailer.com/member/andyritter/,43k,Miles,"Yellow House, Pennsylvania 19518",WDBSK71F38F141781,Sold,"$30,000",Wednesday,June,7,11:35pm,2023,21,https://bringatrailer.com/listing/2008-mercedes-benz-sl550-42/,"3,738",548
1994 BMW 325i Convertible,Y,1994,BMW,BMW E36 3-Series,,1990s,German,Convertibles,13,Collectibleclassics https://bringatrailer.com/member/collectibleclassics/,Dealer,Black,,Soucream89 https://bringatrailer.com/member/soucream89/,55k,Miles,"Yellow House, Pennsylvania 19518",WBABJ6327RJD36046,Sold,"$10,720",Wednesday,June,7,11:28pm,2023,24,https://bringatrailer.com/listing/1994-bmw-325i-convertible-2/,"2,299",205
1983 Porsche 911SC Cabriolet,Y,1983,Porsche,Porsche 911SC,"911, 911 sc, impact bumper, impact-bumper",1980s,German,Located in Canada,34,SteveRC https://bringatrailer.com/member/steverc/,Private Party,White,,peterbobee https://bringatrailer.com/member/peterbobee/,79k,Miles,"Parksville, British Columbia, Canada",WP0EA0911DS170621,Sold,"$52,000",Wednesday,June,7,11:14pm,2023,53,https://bringatrailer.com/listing/1983-porsche-911sc-cabriolet-61/,"8,983",972
21k-Mile 2012 Mercedes-Benz SLS AMG Roadster,N,2012,Mercedes-Benz,Mercedes-Benz AMG,,elMercedes-Benz SLS AMG,0s,rman,20,MERC-SLS-AMG https://bringatrailer.com/member/merc-sls-amg/,Private Party,,Black,manouch1 https://bringatrailer.com/member/manouch1/,21k,Miles,"Jacksonville Beach, Florida 32250",WDDRK7HA6CA009250,Sold,"$123,000",Wednesday,June,7,10:19pm,2023,10,https://bringatrailer.com/listing/2012-mercedes-benz-sls-amg-roadster-10/,"3,883",526
2006 Porsche 911 Carrera Cabriolet 6-Speed,N,2006,Porsche,Porsche 997 911 (Non-Turbo/GT2/GT3),997,2000s,German,Convertibles,26,WJLaJolla https://bringatrailer.com/member/wjlajolla/,Dealer,Grey,Gray,,63k,Miles,"La Jolla, California 92037",WP0CA299X6S755290,Not Sold,"$35,300",Wednesday,June,7,10:12pm,2023,32,https://bringatrailer.com/listing/2006-porsche-911-carrera-cabriolet-33/,"6,542",796
2004 Mercedes-Benz CLK55 AMG Cabriolet,Y,2004,Mercedes-Benz,Mercedes-Benz CLK-Class,,elMercedes-Benz AMG,0s,rman,18,klasseauto https://bringatrailer.com/member/klasseauto/,Dealer,Silver,Black,AOV https://bringatrailer.com/member/aov/,58k,Miles,"Costa Mesa, California 92627",WDBTK76G14T024895,Sold,"$16,750",Wednesday,June,7,10:08pm,2023,19,https://bringatrailer.com/listing/2004-mercedes-benz-clk55-amg-cabriolet/,"3,539",478
1969 Chevrolet Corvette Convertible 4-Speed,Y,1969,Chevrolet,Chevrolet Corvette C3,c3,1960s,American,Convertibles,60,Dray12001 https://bringatrailer.com/member/dray12001/,Private Party,Blue,White Blue,autodoctor https://bringatrailer.com/member/autodoctor/,70k,Miles,"Woodland Hills, California 91364",194679S713004,Sold,"$37,500",Wednesday,June,7,10:07pm,2023,74,https://bringatrailer.com/listing/1969-chevrolet-corvette-204/,"9,278",938
400-Powered 1969 Pontiac Firebird Convertible,N,1969,Pontiac,Pontiac Firebird (1967-1969),,1960s,American,Convertibles,43,Bkendi https://bringatrailer.com/member/bkendi/,Private Party,Maroon,Black,SRF3-14 https://bringatrailer.com/member/srf3-14/,38k,Miles,"Mount Pleasant, Pennsylvania 15666",223679N112560,Sold,"$33,500",Wednesday,June,7,9:21pm,2023,30,https://bringatrailer.com/listing/400-powered-1969-pontiac-firebird-convertible/,"7,533",926
1965 Ford Mustang Convertible 289 5-Speed,N,1965,Ford,Ford Mustang 1964.5-1966,,1960s,American,Convertibles,62,arnoldblinn https://bringatrailer.com/member/arnoldblinn/,Private Party,Black,Black,GeminiKoi https://bringatrailer.com/member/geminikoi/,41k,Miles,"Yarrow Point, Washington 98004",5R08A202746,Sold,"$39,750",Wednesday,June,7,9:20pm,2023,40,https://bringatrailer.com/listing/1965-ford-mustang-convertible-165/,"8,056",925
2000 Porsche 911 Carrera Cabriolet 6-Speed,N,2000,Porsche,Porsche 996 911 (Non-Turbo/GT2/GT3),,2000s,German,Convertibles,56,LAstudios https://bringatrailer.com/member/lastudios/,Dealer,Green,Beige,Patmansfield https://bringatrailer.com/member/patmansfield/,74k,Miles,"Agoura Hills, California 91301",WP0CA2996YS652662,Sold,"$28,500",Wednesday,June,7,9:04pm,2023,57,https://bringatrailer.com/listing/2000-porsche-911-carrera-cabriolet-13/,"8,861",902
350-Powered 1958 Chevrolet Corvette,Y,1958,Chevrolet,Chevrolet Corvette C1,c1,1950s,American,Convertibles,43,BlueChipCar https://bringatrailer.com/member/bluechipcar/,Dealer,Red,White Red,Jtamburin https://bringatrailer.com/member/jtamburin/,64k,Miles,"Dripping Springs, Texas 78620",J58S106477,Sold,"$49,000",Wednesday,June,7,9:02pm,2023,19,https://bringatrailer.com/listing/1958-chevrolet-corvette-72/,"9,040","1,058"
1965 Chevrolet Corvair Monza Convertible 4-Speed,N,1965,Chevrolet,Chevrolet Corvair (1965-1969),,1960s,American,Convertibles,33,jabrams55 https://bringatrailer.com/member/jabrams55/,Private Party,,Turquoise,Flavio112455 https://bringatrailer.com/member/flavio112455/,16k,Miles,"Naples, California 90803",105675W142464,Sold,"$23,000",Wednesday,June,7,8:50pm,2023,23,https://bringatrailer.com/listing/1965-chevrolet-corvair-monza-37/,"7,918",699
