Full Auction title,Is Owned,Is it 'no reserve',Year,Make,Model Family,Model Identifier,Era,Origin,Category,Number Of Comments,Seller,Private Party Or Dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles Of Kilometers,Location,Chassis/VIN,Status,Value,Auction End Day,Auction End Month,Auction End Day Number,Auction End Time,Number Of Bids,Auction URL,Number Of Views,Watchers,Color Description
1997 Renault Sport Spider Trophy,No,Yes,1997,Renault,"","",1990s,French,Race Cars,53,ennisk1 (https://bringatrailer.com/member/ennisk1/) ,Dealer,Silver,,giac (https://bringatrailer.com/member/giac/) ,Unknown,Unknown,"Jupiter, Florida 33458",KC10005,Sold,"$20,000",Tuesday,September,13,1:18pm,20,https://bringatrailer.com/listing/1997-renault-sport-spider-trophy/,"13,276",516,Silver Paint
2015 Porsche 911 GT3 Cup,No,No,2015,Porsche,Porsche 991 GT3,"",2010s,German,Race Cars,64,RodN (https://bringatrailer.com/member/rodn/) ,Private Party,Silver,,RAZYUS77 (https://bringatrailer.com/member/razyus77/) ,6k,Kilometers,"Chandler, Arizona 85249",WPOZZZ99ZFS198097,Sold,"$120,210",Tuesday,September,13,1:12pm,33,https://bringatrailer.com/listing/2015-porsche-911-gt3-40/,"18,254","1,193","Silver, Red, & Black Vinyl Racing Livery"
1991 Safir GT40 Mk V,No,No,1991,Ford,Ford GT40 Replica,"",1960s,"American, British",Race Cars,143,1982Lambo (https://bringatrailer.com/member/1982lambo/) ,Private Party,Yellow,Black,,"5,500",Miles,"Wauconda, Illinois 60084",GT40P1134,Not Sold,"Bid to $282,000",Monday,September,12,11:14am,32,https://bringatrailer.com/listing/1991-safir-gt40-mk-v/,"27,425","1,378","Yellow w/ Black Stripes, Black Upholstery w/ Ventilation Grommets"
2001 Renault Clio V6 Trophy Race Car,No,Yes,2001,Renault,"","",2000s,French,Race Cars,118,Dylancain (https://bringatrailer.com/member/dylancain/) ,Dealer,Yellow,,Plasticporsche (https://bringatrailer.com/member/plasticporsche/) ,Unknown,Unknown,"Ferndale, Washington 98248",VF1C61A0623670118,Sold,"$75,000",Saturday,September,10,12:55pm,38,https://bringatrailer.com/listing/2001-renault-clio-4/,"42,233","1,421",Yellow Paint
1966 Ford Mustang Race Car,No,No,1966,Ford,Ford Mustang 1964.5-1966,"",1960s,American,Race Cars,81,hypwr65 (https://bringatrailer.com/member/hypwr65/) ,Private Party,Yellow,,,Unknown,Unknown,"Simi Valley, California 93063",6R07K145224,Not Sold,"Bid to $27,000",Friday,September,9,12:40pm,37,https://bringatrailer.com/listing/1966-ford-mustang-423/,"13,013",906,Red w/Yellow Stripes
1966 Porsche 912 Race Car Project,No,No,1966,Porsche,Porsche Longhood 911,911long hoodlonghood,1960s,German,"Projects, Race Cars",24,Alex_Maxfield (https://bringatrailer.com/member/alex_maxfield/) ,Private Party,White,,,Unknown,Unknown,"Lincoln, California 95648",455316,Not Sold,"Bid to $36,250",Thursday,September,8,4:16pm,8,https://bringatrailer.com/listing/1966-porsche-912-coupe-27-2/,"10,561",814,White Paintwork
2018 Dissident NZ01 Race Car,No,No,2018,"","","",2010s,"",Race Cars,40,automan003 (https://bringatrailer.com/member/automan003/) ,Private Party,Yellow,,,,,"Fort Lauderdale, Florida 33334",N/A,Not Sold,"Bid to $12,250",Tuesday,September,6,3:45pm,5,https://bringatrailer.com/listing/2018-dissident-nz01-race-car/,"11,921",480,White Fiberglass Body w/Yellow Stripe
Ex–Tom Cruise 1984 Nissan 300ZX Race Car,No,No,1984,Nissan,Nissan 300ZX,"",1980s,Japanese,Race Cars,330,yourfriendsyd (https://bringatrailer.com/member/yourfriendsyd/) ,Private Party,White,Black,artnmotion (https://bringatrailer.com/member/artnmotion/) ,5k,Miles,"Hanover, New Hampshire 03755",JN1HZ14S4EX003379,Sold,"$102,200",Monday,September,5,4:37pm,99,https://bringatrailer.com/listing/1984-nissan-300zx-50/,"41,732","1,181","White Paintwork w/Red & Blue #70 Livery, Black & Red Vinyl Bucket Seats"
1973 Triumph Spitfire Race Car,No,No,1973,Triumph,Triumph Spitfire,"",1970s,British,Race Cars,69,alphadog69 (https://bringatrailer.com/member/alphadog69/) ,Private Party,Blue,Black,,Unknown,Unknown,"Murrieta, California 92563",,Not Sold,"Bid to $7,225",Saturday,September,3,1:23pm,11,https://bringatrailer.com/listing/1973-triumph-spitfire-6/,"8,907",465,"Blue Paint, Black Upholstery"
289-Powered 1964 Ford Falcon Sprint Race Car,No,No,1964,Ford,Ford Falcon,"",1960s,American,Race Cars,154,autospa (https://bringatrailer.com/member/autospa/) ,Private Party,Orange,,mweiss (https://bringatrailer.com/member/mweiss/) ,170,Miles,"Summerville, South Carolina 29458",4R13F105108,Sold,"$60,000",Saturday,September,3,11:50am,37,https://bringatrailer.com/listing/1964-ford-falcon-sprint-5/,"21,915","1,043",Dark Blue and Orange Paint
