Full Auction title,Is Owned,Is it 'no reserve',Year,Make,Model Family,Model Identifier,Era,Origin,Category,Number Of Comments,Seller,Private Party Or Dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles Of Kilometers,Location,Chassis/VIN,Status,Value,Auction End Day,Auction End Month,Auction End Day Number,Auction End Time,Number Of Bids,Auction URL,Number Of Views,Watchers,Color Description
50-Years-Owned 1969 Autodynamics Caldwell D-10 Formula Super Vee,Yes,Yes,1969,"","","",1960s,American,Race Cars,85,Raffi (https://bringatrailer.com/member/raffi/) ,Private Party,Lime green,Black,CCoxpib (https://bringatrailer.com/member/ccoxpib/) ,,,"Battle Ground, Washington 98604",700400002,Sold,"$15,000",Monday,March,1,3:58pm,36,https://bringatrailer.com/listing/1969-autodynamics-caldwell-d-10-formula-super-vee/,"15,844",669,"Lime Green w/ Black Accents, Black Seat & Roll Bar"
2013 Porsche 911 GT3 Cup,No,No,2013,Porsche,Porsche 997 GT3,"",2010s,German,Race Cars,64,Robt94 (https://bringatrailer.com/member/robt94/) ,Private Party,White,,,9k,Kilometers,"Kennesaw, Georgia 30144",WP0ZZZ99ZDS798066,Not Sold,"Bid to $68,000",Monday,March,1,2:24pm,24,https://bringatrailer.com/listing/2013-porsche-gt3-cup/,"26,923","1,179",2016 Repaint in Carrara White
2014 Chevrolet Corvette C7.R GT Factory Race Car by Pratt & Miller,No,No,2014,Chevrolet,Chevrolet Corvette C7,"",2010s,American,Race Cars,360,FantasyJunction (https://bringatrailer.com/member/fantasyjunction/) ,Dealer,Yellow,,Lrocket (https://bringatrailer.com/member/lrocket/) ,,,"Emeryville, California 94608",C7RGT-003,Sold,"$850,000",Monday,March,1,12:00pm,34,https://bringatrailer.com/listing/2014-chevrolet-corvette-c7-r-gt-by-pratt-miller/,"118,433","2,589",2014–2015 Yellow/Black Livery
993-Style 1976 Porsche 911 Race Car 3.4L,No,No,1976,Porsche,Porsche 930 Turbo,"",1970s,German,Race Cars,69,chsutherland (https://bringatrailer.com/member/chsutherland/) ,Dealer,Green,,,Unknown,Unknown,"Jensen Beach, Florida 34957",9306700238,Not Sold,"Bid to $45,000",Friday,February,26,3:40pm,27,https://bringatrailer.com/listing/1976-porsche-911-race-car/,"15,794",723,993 GT2-Style Fiberglass Bodywork in Green
Supercharged 2009 Ariel Atom 3 Track Car,No,No,2009,Ariel,Ariel Atom,"",2000s,British,Race Cars,33,davidfairbanks (https://bringatrailer.com/member/davidfairbanks/) ,Private Party,Black,,dl112056 (https://bringatrailer.com/member/dl112056/) ,7k,Kilometers,"Livermore, California 94550",AA30115,Sold,"$36,000",Friday,February,26,12:57pm,32,https://bringatrailer.com/listing/2009-ariel-atom-3-300/,"15,956",685,Black Tubular Chassis
1992 Porsche 911 Carrera Cup USA,No,No,1992,Porsche,Porsche 964 911 (Non-Turbo),"",1990s,German,Race Cars,77,chsutherland (https://bringatrailer.com/member/chsutherland/) ,Dealer,White,Black,Ed_T911 (https://bringatrailer.com/member/ed_t911/) ,21k,Miles,"Matthews, North Carolina 28105",WP0AB296XNS420569,Sold,"$210,000",Friday,February,26,12:10pm,15,https://bringatrailer.com/listing/1992-porsche-964-911-andial-usa-cup-car/,"26,144","1,110","Grand Prix White Paint, Black Recaro Racing Seats"
Bonanza RS-2000 Rattlesnake Replica Kart,No,Yes,2000,Parts and Automobilia,Parts and Automobilia – Competition Go-Karts,parts and automobilia,1960s,American,"Go-Karts, Race Cars",44,LBPToo (https://bringatrailer.com/member/lbptoo/) ,Private Party,Blue,,steelhead2 (https://bringatrailer.com/member/steelhead2/) ,,,"Chandler, Arizona 85249",2870,Sold,"$5,200",Thursday,February,25,2:57pm,10,https://bringatrailer.com/listing/1965-bonanza-rs-2000-rattlesnake/,"11,336",413,Bonanza Blue Chassis
One-Owner 2005 Honda S2000 Track Car,No,Yes,2005,Honda,Honda S2000,ap2,2000s,Japanese,Race Cars,49,gregwanket (https://bringatrailer.com/member/gregwanket/) ,Private Party,Black,,Blm94 (https://bringatrailer.com/member/blm94/) ,Unknown,Unknown,"Martinez, California 94553",JHMAP21425S002324,Sold,"$19,500",Thursday,February,25,2:30pm,18,https://bringatrailer.com/listing/2005-honda-s2000-66/,"14,990",586,Black OMP HTE Seat
2019 Wolf Racing Cars GB08 Thunder,No,No,2019,"","","",2010s,Italian,Race Cars,57,John012 (https://bringatrailer.com/member/john012/) ,Private Party,"","",riccilr (https://bringatrailer.com/member/riccilr/) ,Unknown,Unknown,"Pahrump, Nevada 89048",218,Sold,"$68,000",Thursday,February,25,2:30pm,9,https://bringatrailer.com/listing/2019-wolf-racing-car-gb08-thunder/,"20,914",567,""
Lotus Seven Series IV Race Car,No,No,,Lotus,Lotus Seven & Caterham Seven,"",1970s,British,Race Cars,51,ibwoods (https://bringatrailer.com/member/ibwoods/) ,Private Party,Yellow,,,Unknown,Unknown,"Lake Leelanau, Michigan 49653",,Not Sold,"Bid to $15,500",Thursday,February,25,12:35pm,25,https://bringatrailer.com/listing/1971-lotus-seven/,"13,753",601,Yellow and Black Exterior
1970 Datsun 240Z Race Car,No,No,1970,Datsun,Datsun 240Z,"",1970s,Japanese,Race Cars,80,jmgrogan70 (https://bringatrailer.com/member/jmgrogan70/) ,Private Party,White,,,Unknown,Unknown,"Hiawassee, Georgia 30546",HLS30-05413,Not Sold,"Bid to $28,250",Wednesday,February,24,1:15pm,27,https://bringatrailer.com/listing/1970-datsun-240z-69/,"17,403",771,Repainted Red/White/Blue
Duratec-Powered 2000 Lotus Elise 111S Track Car,No,No,2000,Lotus,Lotus Elise,"",2000s,British,Race Cars,72,Elanone (https://bringatrailer.com/member/elanone/) ,Dealer,Silver,Black,Cobraman (https://bringatrailer.com/member/cobraman/) ,25k,Miles,"Birmingham, Michigan 48009",SCCGA1116YHD32239,Sold,"$34,000",Wednesday,February,24,12:10pm,27,https://bringatrailer.com/listing/2000-lotus-elise-111s-2/,"21,189",790,"Silver Paint, Black Exige Racings Seats"
1987 Magnum Mk IV Formula Ford,No,No,1987,Ford,"","",1970s,Canadian,Race Cars,100,Panda1844 (https://bringatrailer.com/member/panda1844/) ,Private Party,Black,Black,VictorMunsen (https://bringatrailer.com/member/victormunsen/) ,,,"Kensington, Prince Edward Island, Canada",MKIV-001,Sold,"$8,000",Friday,February,19,3:00pm,11,https://bringatrailer.com/listing/1978-ford-formula-ford-magnum-mk-iv/,"15,161",387,"Removable Black-Painted Bodywork, Black-Finished Single Seat"
2016 BMW M235iR,No,No,2016,BMW,"","",2010s,German,Race Cars,52,amart0890 (https://bringatrailer.com/member/amart0890/) ,Private Party,White,,94Gator (https://bringatrailer.com/member/94gator/) ,"2,500",Miles,"Miami, Florida 33146",WBA1J7C54GV358858,Sold,"$72,600",Thursday,February,18,3:38pm,18,https://bringatrailer.com/listing/2016-bmw-m235i-5/,"18,844",737,White w/ Tricolor Stripes
1961 MG MGA Race Car,No,Yes,1961,MG,MG MGA,mgmg a,1960s,British,Race Cars,34,WERNERS54 (https://bringatrailer.com/member/werners54/) ,,Silver,,Llain (https://bringatrailer.com/member/llain/) ,,,,,Sold,"$14,000",Thursday,February,18,2:26pm,20,https://bringatrailer.com/listing/1961-mg-mga-22-2/,"9,338",531,British Racing Green w/ Silver Stripe
Ex–Dale Earnhardt Dodge Avenger IROC Race Car,No,No,,Dodge,"","",1990s,American,Race Cars,66,aribeau (https://bringatrailer.com/member/aribeau/) ,Dealer,Beige,White,cbishop (https://bringatrailer.com/member/cbishop/) ,,,"Tucson, Arizona 85716",#4,Sold,"$71,500",Thursday,February,18,2:17pm,70,https://bringatrailer.com/listing/1994-dodge-avenger-iroc/,"16,011",527,"Beige with ’95-Style Earnhardt Graphics, White Interior w/ Black Bucket Seats"
Original-Owner 2010 Ariel Atom SRA,No,No,2010,Ariel,Ariel Atom,"",2010s,British,Race Cars,56,sainthoo (https://bringatrailer.com/member/sainthoo/) ,Private Party,Black,,CODave (https://bringatrailer.com/member/codave/) ,,,"Alton, Virginia 24520",SRA #0010,Sold,"$35,250",Tuesday,February,16,1:49pm,47,https://bringatrailer.com/listing/2010-ariel-atom-sra/,"14,467",685,Black Chassis w/ White Bodywork
2005 Ford Mustang FR500C Race Car,No,Yes,2005,Ford,Ford Mustang S197 2005-2014,"",2000s,American,Race Cars,53,StevieRay59 (https://bringatrailer.com/member/stevieray59/) ,Private Party,White,,brcjets (https://bringatrailer.com/member/brcjets/) ,Unknown,Unknown,"Millville, New Jersey 08332",RR0505,Sold,"$28,000",Tuesday,February,16,1:07pm,35,https://bringatrailer.com/listing/2005-ford-mustang-53/,"13,704",534,Blue with White Graphics
5.2L Aluminator-Powered 2015 Ford Mustang GT Race Car,No,No,2015,Ford,Ford Mustang S550,"",2010s,American,Race Cars,85,darrellav8 (https://bringatrailer.com/member/darrellav8/) ,Private Party,Black,,,25k,Miles,"Sonoma, California 95476",1FA6P8CF7F5339506,Not Sold,"Bid to $70,000",Monday,February,15,3:48pm,34,https://bringatrailer.com/listing/2015-ford-mustang-gt-race-car/,"20,211",724,Black Exterior
LS1-Powered 2000 BMW M Roadster 6-Speed,No,No,2000,BMW,BMW Z3 M Roadster,"",2000s,German,"Convertibles, Race Cars",72,spotswoode (https://bringatrailer.com/member/spotswoode/) ,Private Party,Blue,Black,BJM (https://bringatrailer.com/member/bjm/) ,26k,Miles,"Carmel, Indiana 46032",WBSCK9340YLC89980,Sold,"$25,000",Monday,February,15,3:17pm,22,https://bringatrailer.com/listing/2000-bmw-z3-17/,"28,160",914,"Estoril Blue, Black and Blue Interior"
1972 Dodge Charger Race Car,No,Yes,1972,Dodge,Dodge Charger,"",1970s,American,Race Cars,41,Matthope (https://bringatrailer.com/member/matthope/) ,Private Party,"","",VanceKershner (https://bringatrailer.com/member/vancekershner/) ,,,"Fort Collins, Colorado 80526",WL21C2S526143,Sold,"$20,000",Monday,February,15,3:14pm,22,https://bringatrailer.com/listing/1972-dodge-charger-6/,"16,423",533,""
2003 BMW M3 Coupe 6-Speed Track Car,No,No,2003,BMW,BMW E46 M3,3 series3-seriese46e46 m3,2000s,German,Race Cars,91,ave233 (https://bringatrailer.com/member/ave233/) ,Private Party,White,,thespeedcollection (https://bringatrailer.com/member/thespeedcollection/) ,84k,Miles,"Great Neck, New York 11021",WBSBL93453JR19194,Sold,"$38,000",Monday,February,15,2:48pm,32,https://bringatrailer.com/listing/2003-bmw-m3-coupe-112/,"21,622",725,Alpine White III
2012 Chevrolet Monte Carlo Race Car,No,No,2012,Chevrolet,Chevrolet Monte Carlo,"",2010s,American,Race Cars,37,Champracer (https://bringatrailer.com/member/champracer/) ,Private Party,White,,,Unknown,Unknown,"Saint Petersburg, Florida 33704",ASA012704601,Not Sold,"Bid to $10,500",Monday,February,15,12:48pm,12,https://bringatrailer.com/listing/2012-chevrolet-monte-carlo-nascar/,"10,310",318,White Fiberglass Body
1984 Volkswagen Scirocco Race Car,No,Yes,1984,Volkswagen,Volkswagen Scirocco,vw,1980s,German,Race Cars,98,loopracing (https://bringatrailer.com/member/loopracing/) ,Private Party,Black,,captainpyrex (https://bringatrailer.com/member/captainpyrex/) ,Unknown,Unknown,"Mount Prospect, Illinois 60056",WVWCA0538EK003611,Sold,"$11,851",Friday,February,12,12:51pm,35,https://bringatrailer.com/listing/1984-volkswagen-scirocco-2/,"18,843",478,Repainted Black w/ Custom Vinyl Graphics
1959 Kellison J-4R Coupe,No,No,1959,Kellison,"","",1950s,American,Race Cars,134,dpblues2000 (https://bringatrailer.com/member/dpblues2000/) ,Dealer,White,Black,eugens (https://bringatrailer.com/member/eugens/) ,Unknown,Unknown,"Waltham, Massachusetts 02451",3970020,Sold,"$51,000",Thursday,February,11,2:48pm,40,https://bringatrailer.com/listing/1959-kellison-j4-r-coupe/,"31,547","1,177","White Exterior w/Blue Stripes, Black Racing Seats w/Harnesses"
2000 Formula Mazda Race Car,No,No,2000,Mazda,"","",2000s,"",Race Cars,60,wjpierce (https://bringatrailer.com/member/wjpierce/) ,Private Party,Yellow,,TCG624 (https://bringatrailer.com/member/tcg624/) ,,,"Lompoc, California 93436",00204,Sold,"$18,000",Tuesday,February,9,3:14pm,18,https://bringatrailer.com/listing/2000-mazda-formula-mazda/,"20,297",653,Blue & Yellow Exterior
1963.5 Ford Galaxie 500 Holman Moody Tribute,No,Yes,1963,Ford,Ford Galaxie,"",1960s,American,Race Cars,115,FantasyJunction (https://bringatrailer.com/member/fantasyjunction/) ,Dealer,White,,harley-jm (https://bringatrailer.com/member/harley-jm/) ,,,"Emeryville, California 94608",3P66C194927,Sold,"$33,000",Tuesday,February,9,3:03pm,32,https://bringatrailer.com/listing/1963-ford-1-2-ford-galaxie-500-holman-moody-recreation/,"22,905",889,Red & White Racing Livery
1959 Morgan 4/4 Race Car,No,No,1959,Morgan,Morgan Plus 4,"",1950s,British,Race Cars,37,mogguy (https://bringatrailer.com/member/mogguy/) ,Private Party,Yellow,,,850,Miles,"Winter Park, Florida 32789",A535,Not Sold,"Bid to $21,000",Tuesday,February,9,12:56pm,13,https://bringatrailer.com/listing/1959-morgan-4-4/,"10,516",506,Yellow Paint
1959 Huffaker BMC Mk 1 Formula Junior,No,No,1959,"","","",1950s,American,Race Cars,50,brevennaugh (https://bringatrailer.com/member/brevennaugh/) ,Private Party,Yellow,,erikjust (https://bringatrailer.com/member/erikjust/) ,Unknown,Unknown,"Springtown, Texas 76082",#10,Sold,"$31,000",Monday,February,8,2:20pm,15,https://bringatrailer.com/listing/1959-huffaker-bmc-mk-1-formula-junior/,"9,946",385,Yellow Fiberglass Bodywork
37-Years-Owned Crossle 42S,Yes,No,,"","","",1980s,British,Race Cars,84,billfickling (https://bringatrailer.com/member/billfickling/) ,Private Party,Red,Black,,Unknown,Unknown,"San Clemente, California 92673",42S8008,Not Sold,"Bid to $31,000",Thursday,February,4,3:02pm,30,https://bringatrailer.com/listing/1980-crossle-street-legal-42s-sports-racing-car/,"14,762",471,"Red Exterior w/Removable Custom Canopy, Black Vinyl Interior"
1962 Triumph TR4 Race Car,No,Yes,1962,Triumph,Triumph TR4,"",1960s,British,Race Cars,53,BlueChipCar (https://bringatrailer.com/member/bluechipcar/) ,Dealer,White,,JohnC31 (https://bringatrailer.com/member/johnc31/) ,,,"Austin, Texas 78750",CT15888L,Sold,"$11,250",Wednesday,February,3,3:48pm,12,https://bringatrailer.com/listing/1962-triumph-tr4-race-car/,"10,555",539,White over Brown Vinyl
1976 Ford Escort RS2000 Mk II Race Car,No,No,1976,Ford,"","",1970s,German,Race Cars,54,MichelV (https://bringatrailer.com/member/michelv/) ,Private Party,White,Black,,Unknown,Unknown,"Antwerp, Belgium",GCATTD61026,Not Sold,"Bid to $17,500",Wednesday,February,3,3:03pm,17,https://bringatrailer.com/listing/1976-ford-escort-rs2000-2/,"11,891",357,"White Paint with #132 Roundels, Black Sparco REV Racing Seat"
1999 BMW 328i Race Car,No,No,1999,BMW,BMW E46 3-Series Sedan,"",1990s,German,Race Cars,80,1600veloce (https://bringatrailer.com/member/1600veloce/) ,Dealer,Silver,,redfishman (https://bringatrailer.com/member/redfishman/) ,Unknown,Unknown,"North Salem, New York 10560",WBAAM3338XCD56401,Sold,"$41,000",Wednesday,February,3,12:47pm,18,https://bringatrailer.com/listing/1999-bmw-328i-endurance-race-car/,"12,096",307,Silver Exterior
21-Years-Owned Modified 1988 BMW M3,Yes,No,1988,BMW,BMW E30 M3,3 series3-seriese30e30 m3s14,1980s,German,Race Cars,113,dls954 (https://bringatrailer.com/member/dls954/) ,Private Party,Yellow,,jamesb1 (https://bringatrailer.com/member/jamesb1/) ,154k,Miles,"San Rafael, California 94901",WBSAK030XJ2197090,Sold,"$35,500",Tuesday,February,2,12:25pm,14,https://bringatrailer.com/listing/1988-bmw-m3-123/,"23,009",586,Repainted Yellow
Chevrolet Corvette SCCA GT1 Race Car,No,Yes,,Chevrolet,Chevrolet Corvette C5,c5,2000s,American,Race Cars,69,246dinoguy (https://bringatrailer.com/member/246dinoguy/) ,Dealer,White,,burnieguy (https://bringatrailer.com/member/burnieguy/) ,,,"Alton, Virginia 24520",N/A,Sold,"$37,900",Monday,February,1,12:51pm,41,https://bringatrailer.com/listing/chevrolet-corvette-scca-gt1-race-car/,"27,388",777,"White and Blue #97 Livery, Black Kirkey Racing Seat"
Chevrolet Corvette-Style Land Speed Car,No,Yes,,Chevrolet,"",c5,2000s,American,Race Cars,103,Dominicdob (https://bringatrailer.com/member/dominicdob/) ,Private Party,Yellow,,JKR99 (https://bringatrailer.com/member/jkr99/) ,Unknown,Unknown,"Seattle, Washington 98199",N/A,Sold,"$37,666",Friday,January,29,12:17pm,41,https://bringatrailer.com/listing/chevrolet-corvette-style-land-speed-car/,"19,076",437,Yellow and Red Corvette-Style Bodywork
2012 Ford Mustang Boss 302S Race Car,No,No,2012,Ford,Ford Mustang S197 2005-2014,"",2010s,American,Race Cars,25,Mattvan01 (https://bringatrailer.com/member/mattvan01/) ,Private Party,Black,,,Unknown,Unknown,"Pompano Beach, Florida 33064",BOSS302S 011,Not Sold,"Bid to $36,750",Wednesday,January,27,3:18pm,13,https://bringatrailer.com/listing/2012-ford-mustang-boss-302s-race-car-3/,"10,266",449,Refinished in Black
Original-Owner 2014 Lotus Elise Cup R,No,No,2014,Lotus,Lotus Elise,"",2010s,British,Race Cars,48,donaldak (https://bringatrailer.com/member/donaldak/) ,Private Party,Yellow,,1150ss (https://bringatrailer.com/member/1150ss/) ,7k,Miles,"Katy, Texas 77494",SCCLHCRL7EHH10723,Sold,"$40,000",Friday,January,22,3:52pm,28,https://bringatrailer.com/listing/2014-lotus-elise-cup-r-2/,"12,013",613,"Solar Yellow w/ Black Roof, Black Interior"
Honda-Powered 1995 Merlin MP CN Race Car,No,No,1995,"","","",1990s,French,Race Cars,32,Clover2000 (https://bringatrailer.com/member/clover2000/) ,,White,,,,,,"",Not Sold,"Bid to $14,950",Friday,January,22,2:09pm,29,https://bringatrailer.com/listing/1995-merlin-1600-honda-race-car/,"10,139",414,White-Finished Fiberglass Body
2004 Porsche 911 GT3 4.0L Track Car,No,No,2004,Porsche,Porsche 996 GT3,996,2000s,German,Race Cars,100,4Randy (https://bringatrailer.com/member/4randy/) ,Private Party,"","",phx328 (https://bringatrailer.com/member/phx328/) ,Unknown,Unknown,"Orange, California 92865",WP0AC29984S692480,Sold,"$62,000",Friday,January,22,12:30pm,23,https://bringatrailer.com/listing/2004-porsche-911-gt3-24/,"17,850",741,""
Chevron B16 Replica Shell Project,No,Yes,,Chevron,"","",1970s,British,"Projects, Race Cars",127,Chris.j (https://bringatrailer.com/member/chris.j/) ,Private Party,"","",tantric (https://bringatrailer.com/member/tantric/) ,,,"Port Mcnicoll, Ontario, Canada",N/A,Sold,"$6,000",Thursday,January,21,12:59pm,31,https://bringatrailer.com/listing/1970-chevron-b16/,"23,075",547,""
Ex–Jeff Gordon 1997 Chevrolet Monte Carlo NASCAR Winston Cup Race Car,No,No,1997,Chevrolet,Chevrolet Monte Carlo,"",1990s,American,Race Cars,243,mf4250 (https://bringatrailer.com/member/mf4250/) ,Private Party,"","",REE119 (https://bringatrailer.com/member/ree119/) ,,,"Prescott, Arizona 86305",2421,Sold,"$155,000",Thursday,January,21,12:02pm,62,https://bringatrailer.com/listing/1997-chevrolet-monte-carlo/,"104,312","1,908",""
36-Years-Owned 1957 Chevrolet Corvette Race Car,Yes,No,1957,Chevrolet,Chevrolet Corvette C1,c1,1950s,American,Race Cars,50,rotor44 (https://bringatrailer.com/member/rotor44/) ,,White,Red,sethh941 (https://bringatrailer.com/member/sethh941/) ,,,,"",Sold,"$40,000",Wednesday,January,20,3:36pm,29,https://bringatrailer.com/listing/1957-chevrolet-corvette-21/,"15,392",628,"White w/Blue Stripes and Side Scallops, Red Racing Seat"
1988 Porsche 911 Carrera Race Car,No,No,1988,Porsche,Porsche 911 Carrera 3.2,g50g50 911g50 carreraimpact bumperimpact-bumper,1980s,German,Race Cars,58,Swiftmotoring (https://bringatrailer.com/member/swiftmotoring/) ,Private Party,White,,,,,"Jupiter, Florida 33478",WP0AB0915JS121736,Not Sold,"Bid to $50,911",Wednesday,January,20,2:01pm,36,https://bringatrailer.com/listing/1988-porsche-911-carrera-79/,"16,705",803,White Carbon Fiber Body Panels
1964 MG MGB Race Car,No,No,1964,MG,MG MGB,mgmg b,1960s,British,Race Cars,60,NowellKorey (https://bringatrailer.com/member/nowellkorey/) ,Private Party,Silver,,speter9725 (https://bringatrailer.com/member/speter9725/) ,,,"Sugar Grove, Illinois 60554",GHN5UJ452366G,Sold,"$18,000",Tuesday,January,19,3:24pm,13,https://bringatrailer.com/listing/1964-mg-mgb-25/,"10,083",455,Black and Silver
2002 BMW 330Ci Race Car and Accessories,No,No,2002,BMW,"","",2000s,German,Race Cars,82,Wob (https://bringatrailer.com/member/wob/) ,Private Party,"","",Nico2015 (https://bringatrailer.com/member/nico2015/) ,Unknown,Unknown,"Los Angeles, California 90025",WBABN534X3JU29518,Sold,"$45,000",Monday,January,18,2:35pm,9,https://bringatrailer.com/listing/2002-bmw-330ci-race-car/,"19,042",356,""
500-Mile 1998 Lotus Elise S1 Sport 190,No,No,1998,Lotus,Lotus Elise,"",1990s,British,Race Cars,149,the_patina_group (https://bringatrailer.com/member/the_patina_group/) ,Private Party,Red,Black,Ringmeister (https://bringatrailer.com/member/ringmeister/) ,500,Miles,"Davidson, North Carolina 28036",SCCGA1117WHE34016,Sold,"$58,000",Thursday,January,14,12:51pm,38,https://bringatrailer.com/listing/1998-lotus-elise/,"23,903",883,"Calypso Red Exterior, Black Soft Top, Black and Red Cloth Interior"
SR20DET-Powered 1991 Nissan NX2000 Track Car,No,Yes,1991,Nissan,"","",1990s,Japanese,Race Cars,49,johnghini (https://bringatrailer.com/member/johnghini/) ,Private Party,White,,68Doka (https://bringatrailer.com/member/68doka/) ,18k,Miles,"Solvang, California 93463",JN1GB34C6MU001069,Sold,"$6,350",Wednesday,January,13,2:40pm,24,https://bringatrailer.com/listing/1991-nissan-nx2000-2/,"9,442",223,White Exterior
2019 Porsche 911 GT2 RS Clubsport,No,No,2019,Porsche,"Porsche 991 GT2, Porsche 991 911 (Non-Turbo/GT2/GT3)","",2010s,German,Race Cars,251,Dean_Laumbach (https://bringatrailer.com/member/dean_laumbach/) ,Dealer,White,,,47,Kilometers,"Neptune, New Jersey 07753",WP0ZZZ99ZKS197104,Not Sold,"Bid to $470,000",Tuesday,January,12,12:00pm,12,https://bringatrailer.com/listing/2019-porsche-911-gt2rs-clubsport-2/,"82,789","2,324",White w/Carbon Fiber Panels
1969 Chevrolet Corvette Race Car,No,No,1969,Chevrolet,Chevrolet Corvette C3,c3,1960s,American,Race Cars,123,911r (https://bringatrailer.com/member/911r/) ,Dealer,White,,hvacjohn (https://bringatrailer.com/member/hvacjohn/) ,,,"Portland, Oregon 97227",SCCA Logbook Number: 33-1008,Sold,"$80,000",Thursday,January,7,1:59pm,19,https://bringatrailer.com/listing/1969-chevrolet-corvette-75/,"26,237",807,"Red, White, and Blue Livery"
GT3-Style 2011 Ferrari 458 Challenge,No,No,2011,Ferrari,Ferrari 458,"",2010s,Italian,Race Cars,52,marcmerlin (https://bringatrailer.com/member/marcmerlin/) ,Private Party,White,Black,sandro32 (https://bringatrailer.com/member/sandro32/) ,14k,Kilometers,"San Carlos, California 94070",ZFF71NXX000179617,Sold,"$130,000",Wednesday,January,6,2:01pm,23,https://bringatrailer.com/listing/2011-ferrari-458-challenge-3/,"26,036",728,"White and Black Exterior, Red and Black Racing Seats"
Supercharged 2005 Lotus Elise Track Car,No,No,2005,Lotus,Lotus Elise,"",2000s,British,Race Cars,63,k_kowboy (https://bringatrailer.com/member/k_kowboy/) ,Private Party,"","",Ronbelloasv (https://bringatrailer.com/member/ronbelloasv/) ,17k,Miles,"Joliet, Illinois 60436",SCCPC11195HL31766,Sold,"$27,500",Tuesday,January,5,2:20pm,15,https://bringatrailer.com/listing/2005-lotus-elise-86/,"18,910",665,""
2014 Ford Mustang Boss 302S Race Car,No,No,2014,Ford,Ford Mustang S197 2005-2014,"",2010s,American,Race Cars,44,DrivenMotorsports (https://bringatrailer.com/member/drivenmotorsports/) ,Dealer,Black,Black,Jcoalter (https://bringatrailer.com/member/jcoalter/) ,38,Miles,"Lewisville, Texas 75057",BOSS302S1428,Sold,"$66,500",Monday,January,4,2:29pm,27,https://bringatrailer.com/listing/2014-ford-mustang-33/,"11,011",490,"Satin Black Paint, Gloss Black Graphics"
1968 Datsun 510 Race Car,No,No,1968,Datsun,Datsun 510,"",1960s,Japanese,Race Cars,95,piclhead (https://bringatrailer.com/member/piclhead/) ,Private Party,Orange,,,Unknown,Unknown,"Sonoma, California 95476",PL510102374,Not Sold,"Bid to $40,000",Thursday,December,31,3:38pm,21,https://bringatrailer.com/listing/1968-datsun-510-3/,"20,624",741,Light Blue and Orange Paint
1970 Porsche 911 RSR-Style Race Car,No,No,1970,Porsche,Porsche Longhood 911,911911 tlong hoodlonghood,1970s,German,Race Cars,126,cfujgo (https://bringatrailer.com/member/cfujgo/) ,Private Party,Green,,BurnerID (https://bringatrailer.com/member/burnerid/) ,,,"Scottsdale, Arizona 85260",9110220431,Sold,"$118,000",Thursday,December,31,3:05pm,45,https://bringatrailer.com/listing/1970-porsche-911-rsr-style-race-car/,"31,093","1,397",Viper Green Exterior
2007 Chevrolet Impala SS NASCAR Race Car,No,No,2007,Chevrolet,Chevrolet Impala,"",2000s,American,Race Cars,75,chsutherland (https://bringatrailer.com/member/chsutherland/) ,,"","",oakseasons (https://bringatrailer.com/member/oakseasons/) ,Unknown,Unknown,,"",Sold,"$65,000",Wednesday,December,30,1:57pm,36,https://bringatrailer.com/listing/2007-chevrolet-impala/,"20,443",644,""
Miller F3/F500 Race Car,No,Yes,,"","","",1960s,American,Race Cars,39,Raffi (https://bringatrailer.com/member/raffi/) ,Private Party,White,,Bagnolle (https://bringatrailer.com/member/bagnolle/) ,,,"Sonoma, California 95476",,Sold,"$7,000",Tuesday,December,29,2:35pm,11,https://bringatrailer.com/listing/1960-miller-f3-f500-race-car/,"7,611",277,White and Blue Aluminum Bodywork
1963 Elva MK VII Sports Racer,No,No,1963,Elva,"","",1960s,British,Race Cars,132,911r (https://bringatrailer.com/member/911r/) ,Dealer,Red,,,,,"Portland, Oregon 97227",70022,Not Sold,"Bid to $71,000",Tuesday,December,29,1:48pm,19,https://bringatrailer.com/listing/1963-elva-mk-vii/,"26,593","1,046",Replacement Red Bodywork
1973 Datsun 240Z 5-Speed Race Car,No,No,1973,Datsun,Datsun 240Z,"",1970s,Japanese,Race Cars,67,Sobersue (https://bringatrailer.com/member/sobersue/) ,Private Party,Orange,,GriffinWheeler (https://bringatrailer.com/member/griffinwheeler/) ,Unknown,Unknown,"Carson City, Nevada 89701",HLS30-138378,Sold,"$37,000",Monday,December,28,4:12pm,42,https://bringatrailer.com/listing/1973-datsun-240z-143/,"19,113",752,Repainted White/Orange/Blue
1960 Austin-Healey Bugeye Sprite Race Car,No,Yes,1960,Austin-Healey,Austin-Healey Bugeye Sprite,"",1960s,British,"Convertibles, Race Cars",95,Raffi (https://bringatrailer.com/member/raffi/) ,Private Party,White,,Napa356 (https://bringatrailer.com/member/napa356/) ,8k,Miles,"Sonoma, California 95476",AN5L36698,Sold,"$13,000",Monday,December,28,2:41pm,25,https://bringatrailer.com/listing/1960-austin-healey-bug-eye-sprite-71/,"14,249",658,"White Acrylic Enamel w/Red Livery, Black Interior"
